attribute_set,attribute_group,frontend_label_0,attribute_code,frontend_label_1,description,frontend_input,options,note,is_global,is_filterable,is_required,default_value_text,is_unique,frontend_class,is_used_in_grid,is_searchable,search_weight,is_visible_in_advanced_search,is_filterable_in_grid,is_filterable_in_search,position,is_used_for_promo_rules,is_html_allowed_on_front,is_visible_on_front,used_in_product_listing,used_for_sort_by
Lens Accessories,Extension Tubes,Camera Body Mount,camera_body_mount,,,Dropdown,"Canon EOS (EF), Canon EOS-M, Four Thirds, Fujifilm GFX, Fujifilm X Mount, Hasselblad H, Hasselblad V, Micro Four Thirds, Nikon 1, Nikon F, Pentax K, Sony A-mount, Sony E-mount",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,10,No,Yes,No,No,No
Lens Accessories,Lens Supports,Support Type,support_type,,,Dropdown,"Carrier Cap, Focus & Zoom Handle, Hardware, Lens Carrier, Replacement Foot, Strap Lens Cradle, Tripod Adapter",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,10,No,Yes,No,No,No
Lens Accessories,Lens Supports,Compatibility,lenses_compatibility,,,Multiple Select,"Canon EOS EF, Universal, Fujifilm X, Sigma, Leica SL, Micro 4/3, Tamron, Nikon Lens, Sony A, Sony E",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,20,No,Yes,No,No,No
Flash & Accessories,Camera Flashes,Flash Type,flash_type,,,Dropdown,"TTL, Manual, Auto (Non-TTL)",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,10,No,Yes,No,No,No
Flash & Accessories,Camera Flashes,TTL System,ttl_system,,,Dropdown,"Canon, Fujifilm, Leica, Nikon, Olympus/Panasonic, Pentax, Samsung NX, Sigma, Sony (Multi Interface), Sony (Minolta Shoe), Requires Module/Transmitter",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,20,No,Yes,No,No,No
Flash & Accessories,Camera Flashes,Features,features_flash,,,Multiple Select,"R2 integrated, Canon RT integrated",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,30,No,Yes,No,No,No
Flash & Accessories,Radio & Optical Slaves,Transmitters/Sets,transmitters_sets,,,Dropdown,"Transmitters/Receivers Only, Sets/Kits",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,10,No,Yes,No,No,No
Flash & Accessories,Radio & Optical Slaves,Radio & IR Type,radio_ir_type,,,Dropdown,"Radio Transceivers, Radio Transmitters, Radio Receivers, Transceiver Sets, Transceiver/Receiver Sets, Transceiver/Transmitter Sets, Transmitter/Receiver Sets, IR Transmitters, IR Receivers, IR Sets",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,20,No,Yes,No,No,No
Flash & Accessories,Radio & Optical Slaves,TTL/Non-TTL Type,ttl_non_tl_type,,,Multiple Select,"Canon TTL, Fujifilm TTL, Leica TTL, Nikon TTL, Olympus TTL, Panasonic TTL, Pentax TTL, Sony TTL, Multiple System TTL, Non-TTL",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,30,No,Yes,No,No,No
Flash & Accessories,Radio & Optical Slaves,Channels,channels,,,Dropdown,"1, 2, 3, 4, 7, 8, 9, 10, 14, 15, 16, 20, 32, 40, 52, 80, 160",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,50,No,Yes,No,No,No
